"","Placette","date_du_releve","Sphagnum_tot","Juncus_tot"
"1",1,"12",0,62.5
"2",2,"12",87.5,62.5
"3",3,"12",87.5,62.5
"4",4,"12",62.5,0.1
"5",5,"12",87.5,0
"6",6,"12",37.5,0
"7",7,"12",17.5,0
"8",8,"12",37.5,5
"9",9,"12",0,62.5
"10",10,"12",0,17.5
"11",11,"12",0,17.5
"12",12,"12",87.6,37.5
"13",13,"12",0,0.1
"14",14,"12",87.5,0.1
"15",15,"12",0,17.5
"16",16,"12",0,62.5
"17",17,"12",62.5,5
"18",1,"13",0,42.5
"19",2,"13",87.5,87.5
"20",3,"13",87.5,62.5
"21",4,"13",87.5,0
"22",5,"13",87.5,0
"23",6,"13",62.5,0
"24",7,"13",17.5,0
"25",8,"13",87.5,17.5
"26",9,"13",0,37.5
"27",10,"13",0,17.5
"28",11,"13",0.1,37.5
"29",12,"13",62.6,37.5
"30",13,"13",0,0
"31",14,"13",87.5,0.1
"32",15,"13",0,5
"33",16,"13",0,62.5
"34",17,"13",62.5,5
"35",1,"14",0,80
"36",2,"14",87.5,87.5
"37",3,"14",87.5,62.5
"38",4,"14",94.6626065320235,1.65860664653474
"39",5,"14",95.8357719130392,0.59925869632697
"40",6,"14",56.7030883538627,0.599258696326963
"41",7,"14",87.5,0
"42",8,"14",87.5,17.5
"43",9,"14",0,67.5
"44",10,"14",0,37.5
"45",11,"14",0,17.5
"46",12,"14",62.5,37.5
"47",13,"14",0,0
"48",14,"14",99.8190429751122,1.69396663639627
"49",15,"14",0,0
"50",16,"14",0.917002181434341,52.3636529368891
"51",17,"14",62.5,17.5
"52",1,"15",0.1,67.5
"53",2,"15",87.5,87.5
"54",3,"15",87.5,62.5
"55",4,"15",87.5,0.1
"56",5,"15",62.5,0
"57",6,"15",37.5,0
"58",7,"15",17.5,0
"59",8,"15",87.5,17.5
"60",9,"15",0,62.5
"61",10,"15",0,37.5
"62",11,"15",5,17.5
"63",12,"15",62.5,17.5
"64",13,"15",0,0
"65",14,"15",0,0.1
"66",15,"15",0,0
"67",16,"15",0,17.5
"68",17,"15",62.5,17.5
"69",1,"16",0.1,67.5
"70",2,"16",87.5,87.5
"71",3,"16",87.5,87.5
"72",4,"16",85.001985416713,3.54762348300624
"73",5,"16",86.8423076428239,0
"74",6,"16",51.6312274410204,0
"75",7,"16",87.5,0
"76",8,"16",37.5,17.5
"77",9,"16",7.43913260816206,48.8954733541718
"78",10,"16",0.1,37.5
"79",11,"16",0,17.5
"80",12,"16",67.3663602591438,28.5774423635447
"81",13,"16",0.967126153244877,0.122278713857298
"82",14,"16",96.296413879619,3.56415877577352
"83",15,"16",0.589798623905999,1.88583829960586
"84",16,"16",1.34999597614791,21.8685673248184
"85",17,"16",43.9037276282064,18.6320462234665
"86",1,"17",0.1,80
"87",2,"17",87.5,87.5
"88",3,"17",87.5,87.5
"89",4,"17",62.5,5
"90",5,"17",62.5,0
"91",6,"17",37.5,0
"92",7,"17",87.5,0
"93",8,"17",87.5,37.5
"94",9,"17",37.5,55
"95",10,"17",0,37.5
"96",11,"17",0,17.5
"97",12,"17",37.5,17.5
"98",13,"17",0,0.1
"99",14,"17",62.5,5
"100",15,"17",0,0
"101",16,"17",0,10
"102",17,"17",37.5,17.5
"103",1,"19",0.1,37.5
"104",2,"19",5,62.5
"105",3,"19",17.5,62.5
"106",4,"19",62.5,5
"107",5,"19",62.5,0
"108",6,"19",37.5,0
"109",7,"19",87.5,0
"110",8,"19",37.5,17.5
"111",9,"19",0,17.5
"112",10,"19",0,17.5
"113",11,"19",0.1,5.1
"114",12,"19",37.5,17.5
"115",13,"19",0.962234557061862,0.293859590478789
"116",14,"19",87.5,5
"117",15,"19",0,0
"118",16,"19",1.44093343389799,0
"119",17,"19",5,17.5
"120",1,"21",0,37.5
"121",2,"21",0,59.8719303001508
"122",3,"21",0.1,62.5
"123",4,"21",20.5338210971245,1.46963793859245
"124",5,"21",24.3078731078413,0
"125",6,"21",15.1372666373875,0
"126",7,"21",62.5,0
"127",8,"21",0,17.5
"128",9,"21",2.52622422832753,23.2976753264991
"129",10,"21",0,17.5
"130",11,"21",0,5
"131",12,"21",14.260179303626,12.5534632189791
"132",13,"21",1.36347963255376,0
"133",14,"21",51.416044131963,1.47000736009001
"134",15,"21",0.908640691303912,0
"135",16,"21",1.68213836297364,0
"136",17,"21",0,13.6688309572701
"137",1,"22",0,41.6350195031929
"138",2,"22",37.5,62.5
"139",3,"22",47.0118745538385,58.6055884462577
"140",4,"22",62.5,5
"141",5,"22",62.5,0
"142",6,"22",37.5,0
"143",7,"22",81.1029699612689,1.59617921025965
"144",8,"22",41.2839696948037,19.710689727716
"145",9,"22",0,17.5
"146",10,"22",0,22.7155008775616
"147",11,"22",0,7.4052650611959
"148",12,"22",62.5,17.5
"149",13,"22",0,1.11398578567321
"150",14,"22",87.5,5
"151",15,"22",0,0
"152",16,"22",0,0
"153",17,"22",17.5,17.5
